id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
AM_20250416,139,130,118,,Profile427_SN00308.csv,,0,,
AM_20250416,139,110,109,,Profile421_SN00308.csv,,1,310,327
AM_20250416,139,110,109,,Profile423_SN00308.csv,,1,200,218
AM_20250416,139,110,109,,Profile424_SN00308.csv,,1,275,295
AM_20250416,139,110,109,,Profile426_SN00308.csv,,1,201,243
AM_20250416,139,110,109,,Profile427_SN00308.csv,,1,173,201
JPLMet_20250212,76,60,57,,Profile905_SN00151.csv,,1,222,265
JPLMet_20250212,76,60,57,,Profile906_SN00151.csv,,1,208,245
JPLMet_20250212,76,60,57,,Profile907_SN00151.csv,,1,219,263
JPLMet_20250212,76,60,57,,Profile908_SN00151.csv,,1,184,273
JPLMet_20250212,76,60,57,,Profile909_SN00151.csv,,1,194,224
SLMet_20250305,102,89,86,,Profile154_SN00308.csv,,1,35,60
SLMet_20250305,102,89,86,,Profile155_SN00308.csv,,1,30,59
SLMet_20250305,102,89,86,,Profile156_SN00308.csv,,1,101,126
SLMet_20250305,102,89,86,,Profile157_SN00308.csv,,1,80,101
SLMet_20250305,102,89,86,,Profile158_SN00308.csv,,1,74,95
SLMet_20250305,102,58,56,,Profile154_SN00308.csv,,1,354,374
SLMet_20250305,102,58,56,,Profile155_SN00308.csv,,1,358,385
SLMet_20250305,102,58,56,,Profile156_SN00308.csv,,1,417,431
SLMet_20250305,102,58,56,,Profile157_SN00308.csv,,1,394,408
SLMet_20250305,102,58,56,,Profile158_SN00308.csv,,1,408,428
BDG_20241219,170,169,167,,Profile41_SN00308.csv,,0,,
BDG_20241219,170,169,167,,Profile42_SN00308.csv,,0,,
BDG_20241219,170,169,167,,Profile43_SN00308.csv,,0,,
BDG_20241219,170,169,167,,Profile44_SN00308.csv,,0,,
BDG_20241219,170,169,167,,Profile46_SN00308.csv,,0,,
BDG_20241219,170,75,72,,Profile41_SN00308.csv,,1,968,989
BDG_20241219,170,75,72,,Profile42_SN00308.csv,,1,991,1014
BDG_20241219,170,75,72,,Profile43_SN00308.csv,,1,932,954
BDG_20241219,170,75,72,,Profile44_SN00308.csv,,1,997,1041
BDG_20241219,170,75,72,,Profile46_SN00308.csv,,1,1015,1079
DHMet_20250312,123,123,118,,Profile183_SN00308.csv,,1,66,104
DHMet_20250312,123,123,118,,Profile184_SN00308.csv,,1,55,90
DHMet_20250312,123,123,118,,Profile186_SN00308.csv,,1,36,43
DHMet_20250312,123,123,118,,Profile187_SN00308.csv,,1,51,100
DHMet_20250312,123,123,118,,Profile188_SN00308.csv,,1,24,53
DHMet_20250312,123,113,109,,Profile183_SN00308.csv,,1,222,239
DHMet_20250312,123,113,109,,Profile184_SN00308.csv,,1,116,135
DHMet_20250312,123,113,109,,Profile186_SN00308.csv,,1,128,137
DHMet_20250312,123,113,109,,Profile187_SN00308.csv,,1,241,249
DHMet_20250312,123,113,109,,Profile188_SN00308.csv,,1,181,196
FRE_20241210,94,67,65.5,,Profile7_SN00308.csv,,1,317,370
FRE_20241210,94,67,65.5,,Profile8_SN00308.csv,,1,313,377
FRE_20241210,94,67,65.5,,Profile9_SN00308.csv,,1,326,339
FRE_20241210,94,67,65.5,,Profile10_SN00308.csv,,1,316,328
FRE_20241210,94,67,65.5,,Profile11_SN00308.csv,,1,369,276
FST_20250407,185,155,153,,Profile273_SN00308.csv,,1,230,236
FST_20250407,185,155,153,,Profile275_SN00308.csv,,1,425,441
FST_20250407,185,155,153,,Profile277_SN00308.csv,,1,347,368
FST_20250407,185,155,153,,Profile278_SN00308.csv,,1,336,364
FST_20250407,185,155,153,,Profile280_SN00308.csv,,1,309,324
CCY_20250206,92.5,92,91.5,,Profile140_SN00377.csv,,0,,
CCY_20250206,92.5,92,91.5,,Profile141_SN00377.csv,,0,,
CCY_20250206,92.5,92,91.5,,Profile144_SN00377.csv,,0,,
CCY_20250206,92.5,92,91.5,,Profile146_SN00377.csv,,0,,
CCY_20250206,92.5,92,91.5,,Profile147_SN00377.csv,,0,,
CCY_20250206,92.5,83.5,78,,Profile140_SN00377.csv,,0,,
CCY_20250206,92.5,83.5,78,,Profile141_SN00377.csv,,1,87,113
CCY_20250206,92.5,83.5,78,,Profile144_SN00377.csv,,1,79,105
CCY_20250206,92.5,83.5,78,,Profile146_SN00377.csv,,1,91,114
CCY_20250206,92.5,83.5,78,,Profile147_SN00377.csv,,1,85,116
CCY_20250206,92.5,74,67,,Profile140_SN00377.csv,,0,,
CCY_20250206,92.5,74,67,,Profile141_SN00377.csv,,1,167,205
CCY_20250206,92.5,74,67,,Profile144_SN00377.csv,,1,157,194
CCY_20250206,92.5,74,67,,Profile146_SN00377.csv,,1,155,198
CCY_20250206,92.5,74,67,,Profile147_SN00377.csv,,1,171,201
CCY_20250206,92.5,61,58,,Profile140_SN00377.csv,,0,,
CCY_20250206,92.5,61,58,,Profile141_SN00377.csv,,1,345,371
CCY_20250206,92.5,61,58,,Profile144_SN00377.csv,,1,329,348
CCY_20250206,92.5,61,58,,Profile146_SN00377.csv,,1,345,360
CCY_20250206,92.5,61,58,,Profile147_SN00377.csv,,1,356,372
CCY_20250206,92.5,27,20,,Profile140_SN00377.csv,,0,,
CCY_20250206,92.5,27,20,,Profile141_SN00377.csv,,1,692,725
CCY_20250206,92.5,27,20,,Profile144_SN00377.csv,,1,700,726
CCY_20250206,92.5,27,20,,Profile146_SN00377.csv,,1,636,658
CCY_20250206,92.5,27,20,,Profile147_SN00377.csv,,1,678,689
DHMet_20250225,130,130,128,,Profile960_SN00151.csv,,1,1,21
DHMet_20250225,130,130,128,,Profile962_SN00151.csv,,1,1,31
DHMet_20250225,130,130,128,,Profile966_SN00151.csv,,1,1,21
DHMet_20250225,130,130,128,,Profile967_SN00151.csv,,1,1,21
DHMet_20250225,130,130,128,,Profile968_SN00151.csv,,1,3,30
DHMet_20250225,130,123,121,,Profile960_SN00151.csv,,1,79,96
DHMet_20250225,130,123,121,,Profile962_SN00151.csv,,1,84,102
DHMet_20250225,130,123,121,,Profile966_SN00151.csv,,1,68,82
DHMet_20250225,130,123,121,,Profile967_SN00151.csv,,1,71,86
DHMet_20250225,130,123,121,,Profile968_SN00151.csv,,1,80,100
DHMet_20250225,130,75,72,,Profile960_SN00151.csv,,1,491,507
DHMet_20250225,130,75,72,,Profile962_SN00151.csv,,1,506,529
DHMet_20250225,130,75,72,,Profile966_SN00151.csv,,1,502,515
DHMet_20250225,130,75,72,,Profile967_SN00151.csv,,1,510,524
DHMet_20250225,130,75,72,,Profile968_SN00151.csv,,1,522,535
BOG_20241213,61,54,52,,Profile19_SN00308.csv,,1,58,72
BOG_20241213,61,54,52,,Profile22_SN00308.csv,,1,65,80
BOG_20241213,61,54,52,,Profile23_SN00308.csv,,1,45,62
BOG_20241213,61,54,52,,Profile27_SN00308.csv,,1,73,86
BOG_20241213,61,54,52,,Profile28_SN00308.csv,,0,,
BOG_20241213,61,54,52,,Profile30_SN00308.csv,,1,70,85
BOG_20241213,61,54,52,,Profile31_SN00308.csv,,1,68,87
BOG_20241213,61,54,52,,Profile32_SN00308.csv,,1,51,73
BOG_20241213,61,54,52,,Profile33_SN00308.csv,,1,56,83
BOG_20241213,61,54,52,,Profile34_SN00308.csv,,1,56,77
BOG_20241213,61,42,40,,Profile19_SN00308.csv,,1,198,210
BOG_20241213,61,42,40,,Profile22_SN00308.csv,,1,193,208
BOG_20241213,61,42,40,,Profile23_SN00308.csv,,1,194,208
BOG_20241213,61,42,40,,Profile27_SN00308.csv,,1,167,178
BOG_20241213,61,42,40,,Profile28_SN00308.csv,,1,197,205
BOG_20241213,61,42,40,,Profile30_SN00308.csv,,1,214,231
BOG_20241213,61,42,40,,Profile31_SN00308.csv,,1,188,194
BOG_20241213,61,42,40,,Profile32_SN00308.csv,,1,210,241
BOG_20241213,61,42,40,,Profile33_SN00308.csv,,1,178,189
BOG_20241213,61,42,40,,Profile34_SN00308.csv,,0,,
BOG_20241213,61,38.5,36.5,,Profile19_SN00308.csv,,1,230,250
BOG_20241213,61,38.5,36.5,,Profile22_SN00308.csv,,1,232,241
BOG_20241213,61,38.5,36.5,,Profile23_SN00308.csv,,1,231,238
BOG_20241213,61,38.5,36.5,,Profile27_SN00308.csv,,1,228,254
BOG_20241213,61,38.5,36.5,,Profile28_SN00308.csv,,1,254,269
BOG_20241213,61,38.5,36.5,,Profile30_SN00308.csv,,1,263,283
BOG_20241213,61,38.5,36.5,,Profile31_SN00308.csv,,1,203,244
BOG_20241213,61,38.5,36.5,,Profile32_SN00308.csv,,1,233,245
BOG_20241213,61,38.5,36.5,,Profile33_SN00308.csv,,1,214,230
BOG_20241213,61,38.5,36.5,,Profile34_SN00308.csv,,0,,
BOG_20241213,61,34.5,33,,Profile19_SN00308.csv,,1,258,270
BOG_20241213,61,34.5,33,,Profile22_SN00308.csv,,1,265,273
BOG_20241213,61,34.5,33,,Profile23_SN00308.csv,,1,270,280
BOG_20241213,61,34.5,33,,Profile27_SN00308.csv,,1,254,269
BOG_20241213,61,34.5,33,,Profile28_SN00308.csv,,1,254,264
BOG_20241213,61,34.5,33,,Profile30_SN00308.csv,,1,267,283
BOG_20241213,61,34.5,33,,Profile31_SN00308.csv,,1,249,265
BOG_20241213,61,34.5,33,,Profile32_SN00308.csv,,1,258,281
BOG_20241213,61,34.5,33,,Profile33_SN00308.csv,,1,247,262
BOG_20241213,61,34.5,33,,Profile34_SN00308.csv,,1,279,300
BOG_20241213,61,21,20,,Profile19_SN00308.csv,,1,398,404
BOG_20241213,61,21,20,,Profile22_SN00308.csv,,1,413,427
BOG_20241213,61,21,20,,Profile23_SN00308.csv,,1,415,426
BOG_20241213,61,21,20,,Profile27_SN00308.csv,,1,382,395
BOG_20241213,61,21,20,,Profile28_SN00308.csv,,1,410,425
BOG_20241213,61,21,20,,Profile30_SN00308.csv,,1,414,422
BOG_20241213,61,21,20,,Profile31_SN00308.csv,,1,412,418
BOG_20241213,61,21,20,,Profile32_SN00308.csv,,1,392,395
BOG_20241213,61,21,20,,Profile33_SN00308.csv,,1,374,386
BOG_20241213,61,21,20,,Profile34_SN00308.csv,,1,409,435
BOG_20241213,61,13,9,,Profile19_SN00308.csv,,1,483,485
BOG_20241213,61,13,9,,Profile22_SN00308.csv,,0,,
BOG_20241213,61,13,9,,Profile23_SN00308.csv,,1,495,527
BOG_20241213,61,13,9,,Profile27_SN00308.csv,,1,471,498
BOG_20241213,61,13,9,,Profile28_SN00308.csv,,1,457,492
BOG_20241213,61,13,9,,Profile30_SN00308.csv,,0,,
BOG_20241213,61,13,9,,Profile31_SN00308.csv,,1,478,520
BOG_20241213,61,13,9,,Profile32_SN00308.csv,,1,530,554
BOG_20241213,61,13,9,,Profile33_SN00308.csv,,1,494,525
BOG_20241213,61,13,9,,Profile34_SN00308.csv,,0,,
BDG_20241212,120,78,74,,Profile12_SN00308.csv,,1,446,483
BDG_20241212,120,78,74,,Profile13_SN00308.csv,,1,444,467
BDG_20241212,120,78,74,,Profile15_SN00308.csv,,1,465,511
BDG_20241212,120,78,74,,Profile16_SN00308.csv,,1,462,490
BDG_20241212,120,78,74,,Profile17_SN00308.csv,,1,467,498
BDG_20241212,120,25,23,,Profile12_SN00308.csv,,1,903,971
BDG_20241212,120,25,23,,Profile13_SN00308.csv,,1,956,974
BDG_20241212,120,25,23,,Profile15_SN00308.csv,,1,927,978
BDG_20241212,120,25,23,,Profile16_SN00308.csv,,1,909,1000
BDG_20241212,120,25,23,,Profile17_SN00308.csv,,1,903,998
SLMet_20250226,90,89,86.5,,Profile1344_SN00234.csv,,0,,
SLMet_20250226,90,89,86.5,,Profile1345_SN00234.csv,,1,2,21
SLMet_20250226,90,89,86.5,,Profile1346_SN00234.csv,,1,1,13
SLMet_20250226,90,89,86.5,,Profile1348_SN00234.csv,,1,1,22
SLMet_20250226,90,89,86.5,,Profile1349_SN00234.csv,,1,3,15
SLMet_20250226,90,57,55,,Profile1344_SN00234.csv,,1,1,15
SLMet_20250226,90,57,55,,Profile1345_SN00234.csv,,1,339,357
SLMet_20250226,90,57,55,,Profile1346_SN00234.csv,,1,338,373
SLMet_20250226,90,57,55,,Profile1348_SN00234.csv,,1,340,373
SLMet_20250226,90,57,55,,Profile1349_SN00234.csv,,1,371,383
BMO_20250224,96,62,59,,Profile384_SN00258.csv,,1,371,394
BMO_20250224,96,62,59,,Profile387_SN00258.csv,,1,277,314
BMO_20250224,96,62,59,,Profile391_SN00258.csv,,1,305,340
BMO_20250224,96,62,59,,Profile393_SN00258.csv,,1,374,402
BMO_20250224,96,57,54,,Profile384_SN00258.csv,,1,346,376
BMO_20250224,96,57,54,,Profile387_SN00258.csv,,1,277,312
BMO_20250224,96,57,54,,Profile391_SN00258.csv,,0,,
BMO_20250224,96,57,54,,Profile393_SN00258.csv,,1,374,401
BMO_20250224,96,52,50,,Profile384_SN00258.csv,,1,385,399
BMO_20250224,96,52,50,,Profile387_SN00258.csv,,0,,
BMO_20250224,96,52,50,,Profile391_SN00258.csv,,0,,
BMO_20250224,96,52,50,,Profile393_SN00258.csv,,1,415,433
LFMet_20250312,103,100,96,,Profile189_SN00308.csv,,1,473,494
LFMet_20250312,103,100,96,,Profile190_SN00308.csv,,1,33,47
LFMet_20250312,103,100,96,,Profile191_SN00308.csv,,1,1,14
LFMet_20250312,103,100,96,,Profile193_SN00308.csv,,1,1,25
LFMet_20250312,103,100,96,,Profile194_SN00308.csv,,1,30,49
FRE_20250122,187,184,181,,Profile46_SN00340.csv,,1,1,11
FRE_20250122,187,184,181,,Profile47_SN00340.csv,,0,,
FRE_20250122,187,184,181,,Profile48_SN00340.csv,,1,36,49
FRE_20250122,187,184,181,,Profile50_SN00340.csv,,0,,
FRE_20250122,187,184,181,,Profile51_SN00340.csv,,0,,
FRE_20250122,187,169,166,,Profile46_SN00340.csv,,0,,
FRE_20250122,187,169,166,,Profile47_SN00340.csv,,1,247,271
FRE_20250122,187,169,166,,Profile48_SN00340.csv,,1,213,252
FRE_20250122,187,169,166,,Profile50_SN00340.csv,,1,226,269
FRE_20250122,187,169,166,,Profile51_SN00340.csv,,1,212,230
AM_20241122,38,35,34.5,,Profile744_SN00234.csv,,1,221,249
AM_20241122,38,35,34.5,,Profile745_SN00234.csv,,1,24,33
AM_20241122,38,35,34.5,,Profile747_SN00234.csv,,0,,
AM_20241122,38,35,34.5,,Profile748_SN00234.csv,,0,,
AM_20241122,38,35,34.5,,Profile749_SN00234.csv,,1,24,38
JPLMet_20250318,89,87,85,,Profile236_SN00308.csv,,0,,
JPLMet_20250318,89,87,85,,Profile238_SN00308.csv,,1,23,56
JPLMet_20250318,89,87,85,,Profile239_SN00308.csv,,1,49,67
JPLMet_20250318,89,87,85,,Profile240_SN00308.csv,,1,30,49
JPLMet_20250318,89,87,85,,Profile241_SN00308.csv,,1,34,52
JPLMet_20250318,89,82,74,,Profile236_SN00308.csv,,1,17,42
JPLMet_20250318,89,82,74,,Profile238_SN00308.csv,,1,66,101
JPLMet_20250318,89,82,74,,Profile239_SN00308.csv,,1,123,170
JPLMet_20250318,89,82,74,,Profile240_SN00308.csv,,1,47,141
JPLMet_20250318,89,82,74,,Profile241_SN00308.csv,,1,77,165
JPLMet_20250318,89,51,47,,Profile236_SN00308.csv,,1,127,167
JPLMet_20250318,89,51,47,,Profile238_SN00308.csv,,1,365,386
JPLMet_20250318,89,51,47,,Profile239_SN00308.csv,,1,382,401
JPLMet_20250318,89,51,47,,Profile240_SN00308.csv,,1,364,378
JPLMet_20250318,89,51,47,,Profile241_SN00308.csv,,1,385,399
JPLMet_20250211,68,60,56,,Profile1342_SN00234.csv,,1,418,449
