,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
1969,16.0,0.0,,,2_4,FC,F,D,"DH, cups, striations, rounding, some >4mm",,,,,166.0,FSTA_20240404,237.41701530612244,,
1970,144.0,128.0,,,1_2,PP,F,D,"PPrm + PPgr (on top, 1 cm thick.  some rime + clean plates/stellars",,,,,144.0,FSTA_20240208,,0.06064910914454278,
1971,128.0,126.0,,,2_4,PP,F,D,stellars starting to decompose,,,,,144.0,FSTA_20240208,,0.11267128888888889,
1972,126.0,110.5,,,<1,RG,F,D,,,,,,144.0,FSTA_20240208,,0.25780321604938267,
1973,110.5,109.5,,,2_4,SH,F,D,up to 10mm,,,,,144.0,FSTA_20240208,,0.38326247619047615,
1974,109.5,99.0,,,1_2,RG,4F+,D,mostly 1mm,,,,,144.0,FSTA_20240208,,0.8225876846846846,
1975,99.0,94.0,,,<1,RG,4F,D,some faceting edges,,,,,144.0,FSTA_20240208,,1.573338895238095,
1976,94.0,76.0,,,<1,RG,1F,D,,,,,,144.0,FSTA_20240208,110.23342105263157,3.8122426719160107,
1977,76.0,64.0,,,<1,RG,P+,D,some faceted edges,,,,,144.0,FSTA_20240208,253.425,8.250900149019607,
1978,64.0,39.0,,,2_4,FC,F+,D,,,,,,144.0,FSTA_20240208,126.7125,1.3011655542857146,
1979,39.0,0.0,,,1_2,FC,F,D,DH some up to 6mm,,,,,144.0,FSTA_20240208,,0.9654292161172161,
1980,58.5,58.0,,,1_2,FC,F,D,,,,,,58.5,JPLMet_20240207,,,
1981,58.0,56.5,,,1_2,MFcr,1F+,D,,,,,,58.5,JPLMet_20240207,,,
1982,56.5,50.5,,,<1,RG,F,D,faceting,,,,,58.5,JPLMet_20240207,,,
1983,50.5,49.5,,,<1,MF,F,D,faceting,,,,,58.5,JPLMet_20240207,,,
1984,49.5,42.0,,,1_2,FC,F,D,,,,,,58.5,JPLMet_20240207,,,
1985,42.0,27.5,,,1_2,RG,1F,D,faceting,,,,,58.5,JPLMet_20240207,58.86,,
1986,27.5,24.0,,,<1,RG,P,D,starting to facet,,,,,58.5,JPLMet_20240207,137.34,,
1987,24.0,0.0,,,4_6,DH,F+,D,prisms,,,,,58.5,JPLMet_20240207,22.890000000000004,,
1988,151.0,148.0,,,1_2,MF,F,W,1mm,,,,,151.0,WSL_20240515,,,
1989,148.0,142.0,,,1_2,MF,4F,M,1mm,,,,,151.0,WSL_20240515,109.31142857142858,,
1990,142.0,140.0,,,<1,MFcr,1F,M,0.5mm,,,,,151.0,WSL_20240515,,,
1991,140.0,130.0,,,1_2,MF,F,M,1mm,,,,,151.0,WSL_20240515,,,
1992,130.0,116.0,,,<1,MF,4F,M,0.5mm,,,,,151.0,WSL_20240515,133.3475581395349,,
1993,116.0,113.0,,,N/O,IF,I,,discontinuous,,,,,151.0,WSL_20240515,269.77500000000003,,
1994,113.0,107.0,,,<1,MF,1F,M,0.2mm,,,,,151.0,WSL_20240515,407.115,,
1995,107.0,105.0,,,<1,MFcr,P,W,"0.4mm, some MFcr, some MF, discontinuous",,,,,151.0,WSL_20240515,309.01500000000004,,
1996,105.0,73.0,,,<1,MF,1F,M,0.5mm,,,,,151.0,WSL_20240515,284.7235714285715,,
1997,73.0,55.0,,,<1,MF,P,M,0.5mm,,,,,151.0,WSL_20240515,980.9999999999998,,
1998,55.0,39.0,,,<1,MF,1F,M,0.4mm,,,,,151.0,WSL_20240515,606.585,,
1999,39.0,0.0,,,1_2,MF,4F,M,2mm,,,,,151.0,WSL_20240515,78.47043859649122,,
2000,71.0,63.0,,,<1,FC,F,D,some 1-2mm stellars,,,,,71.0,JPLMet_20240213,,,
2001,63.0,62.0,,,<1,MFcr,4F,D,,,,,,71.0,JPLMet_20240213,,,
2002,62.0,49.0,,,1_2,FC,F,D,previously rounds,,,,,71.0,JPLMet_20240213,,,
2003,49.0,34.0,,,1_2,FC,1F-,D,,,,,,71.0,JPLMet_20240213,69.4875,,
2004,34.0,29.5,,,<1,RG,P-,D,faceting,,,,,71.0,JPLMet_20240213,129.165,,
2005,29.5,0.0,,,2_4,FC,F,D,DH,,,,,71.0,JPLMet_20240213,27.935142857142857,,
2006,119.0,109.0,,,<1,RG,F,D,,,,,,119.0,AM_20240229,,0.170288676056338,
2007,109.0,101.0,,,1_2,RG,F+,D,some facets / faceted edges,,,,,119.0,AM_20240229,,0.2782149122807018,
2008,101.0,90.0,,,1_2,RG,4F,D,,,,,,119.0,AM_20240229,,0.9098406753246754,
2009,90.0,79.0,,,1_2,RG,4F+,D,facets,,,,,119.0,AM_20240229,57.92571428571428,1.140275896103896,
2010,79.0,78.0,,,1_2,MF,F,D,heavily faced,,,,,119.0,AM_20240229,,1.15786,
2011,78.0,64.0,,,1_2,RG,1F,D,,,,,,119.0,AM_20240229,49.89085714285715,1.7037122828282831,
2012,64.0,50.0,,,<1,RG,P-,D,,,,,,119.0,AM_20240229,156.41500000000002,5.855315535353534,
2013,50.0,14.0,,,2_4,FC,F,D,rounding,,,,,119.0,AM_20240229,,0.6953948142292489,
2014,14.0,0.0,,,2_4,DH,1F,D,"well bonded, striations, some 6-8mm",,,,,119.0,AM_20240229,69.215,1.5618705217391307,
2015,32.5,26.5,,,2_4,FC,F-,D,,,,,,32.5,JPL1_20240103,,,
2016,26.5,16.0,,,4_6,FC,F,D,some small chains,,,,,32.5,JPL1_20240103,,,
2017,16.0,10.5,,,4_6,FC,F+,D,some chains up to 8mm,,,,,32.5,JPL1_20240103,,,
2018,10.5,0.0,,,4_6,DH,F,D,,,,,,32.5,JPL1_20240103,9.81,,
2026,81.0,73.0,,,1_2,PP,F,D,PPrm,,,,,81.0,JPL1_20240117,,0.03020757894736842,
2027,73.0,52.0,,,<1,DF,F,D,,,,,,81.0,JPL1_20240117,,0.1267416326530612,
2028,52.0,41.0,,,<1,RG,4F,D,DF,,,,,81.0,JPL1_20240117,,0.24819199999999994,
2029,41.0,28.0,,,1_2,RG,4F,D,,,,,,81.0,JPL1_20240117,9.81,1.0647453846153845,
2030,28.0,0.0,,,2_4,DH,F,D,,,,,,81.0,JPL1_20240117,,0.3116770253807107,
2031,107.0,92.0,,,1_2,PPrm,F,D,DF,,,,,107.0,JPLMet_20240305,,,
2032,92.0,82.0,,,<1,DF,F,D,,,,,,107.0,JPLMet_20240305,,,
2033,82.0,73.5,,,<1,RG,F+,D,DF,,,,,107.0,JPLMet_20240305,,,
2034,73.5,73.0,,,<1,MFcr,1F,D,,,,,,107.0,JPLMet_20240305,,,
2035,73.0,64.5,,,<1,RG,F,D,,,,,,107.0,JPLMet_20240305,,,
2036,64.5,63.5,,,1_2,MFcr,1F,D,some faceted edges,,,,,107.0,JPLMet_20240305,,,
