,top_cm,bottom_cm,grain max_mm,grain min_mm,grain avg_mm,type,HH,wetness,comments,hs_cm,swe_mm,density_kgm3,date,hs,profile_id,avg_force_ram,avg_force_scope,avg_force_smp
269,115.0,98.5,0.8,0.2,0.5,RGxf,1F,D,,16.5,56.2,340.7,,160.0,BOG_20250110,,,
270,98.5,98.0,,,,IF,I,D,,0.5,1.8,381.37655565,,160.0,BOG_20250110,,,
271,98.0,84.0,0.3,0.1,0.2,RG,1F,D,MFcr on top/bottom,14.0,50.9,363.7,,160.0,BOG_20250110,,,
272,84.0,79.0,1.5,0.5,1.0,MFcr,P,D,"Well bonded, some sharp edges",5.0,18.8,380.75263186,,160.0,BOG_20250110,,,
273,79.0,46.0,0.6,0.2,0.4,RG,P,D,P @ bottom,33.0,109.0,330.3,,160.0,BOG_20250110,,,
274,46.0,25.0,2.0,0.6,1.0,FCxr,1F,M,"Secondary MFcl, heavily rounded",21.0,64.1,305.4,,160.0,BOG_20250110,,,
275,25.0,24.0,1.5,0.5,1.0,MFcr,P,M,Some rounding faceted edges,,,142.088837,,160.0,BOG_20250110,,,
276,24.0,0.0,2.0,1.0,1.5,DHxr,1F,M,"Well bonded, some MFcl",,,301.9,,160.0,BOG_20250110,,,
277,65.0,55.0,2.0,0.5,1.5,MFcl,F,W,,,,,20250408.0,65.0,JPLMet_20250408_TS_1321,153.63142965696917,7.318306789389919,1.1038786383343806
278,55.0,35.0,2.0,0.5,1.0,MFpc,1F,M,MFcl,,,,,65.0,JPLMet_20250408_TS_1321,,,
279,35.0,24.0,2.5,1.0,1.5,MFcl,4F,M,,,,,,65.0,JPLMet_20250408_TS_1321,,,
280,24.0,0.0,4.0,1.0,2.0,MFcl,F,M,,,,,,65.0,JPLMet_20250408_TS_1321,,,
289,20.0,12.5,0.5,0.1,0.2,FCsf,F,D,Diurnal nsfg cups,9.2,10.5,114.0,20241201.0,20.0,BMO_20241201,,2.189021198198198,
290,12.5,11.0,2.0,0.5,1.0,MFcr,F,D,MFcr crust made up of DHcp,1.6000000000000014,4.5,281.0,,20.0,BMO_20241201,,,
291,11.0,8.0,1.5,0.5,1.0,FC,F,D,FCso,2.999999999999999,6.0,200.0,,20.0,BMO_20241201,,,
292,8.0,0.0,2.5,1.0,1.5,MFcr,P,D,"Variable hardness
Old facets",6.2,14.0,226.0,,20.0,BMO_20241201,,,
301,52.0,51.5,1.5,0.5,1.0,SH,F,D,"SHcp, FCsf starting",,,,20241206.0,52.0,AM_20241206,0.981,2.6415796342857143,
302,51.5,37.0,1.0,0.3,0.5,FC,F,D,FCso,15.0,31.0,206.66666666666663,,52.0,AM_20241206,5.228593750000001,2.832559429473684,
303,37.0,27.5,1.0,0.3,0.5,RGxf,1F,D,,9.5,16.5,173.68421052631578,,52.0,AM_20241206,,,
304,27.5,11.0,2.0,1.0,1.5,FC,1F,D,FCso,16.5,38.5,233.33333333333331,,52.0,AM_20241206,,,
305,11.0,0.0,4.0,1.0,2.0,DHcp,1F,D,,11.0,26.0,236.3636363636364,,52.0,AM_20241206,,,
313,74.0,70.0,0.5,0.1,0.3,PP,F,D,PPir PPnd PPco,5.2,5.5,105.76923076923076,20250120.0,74.0,FEFHQ_20250120,9.017955960854096,0.19694680284697505,
314,70.0,56.0,1.0,0.3,0.5,FC,F,D,FCso,10.4,18.0,173.07692307692307,,74.0,FEFHQ_20250120,21.37879285714286,0.39415667241379304,
315,56.0,49.0,1.5,0.5,1.0,RGxf,4F,D,,8.8,20.0,227.27272727272725,,74.0,FEFHQ_20250120,,,
316,49.0,34.0,1.5,0.5,1.0,FC,1F,D,FCso,13.6,33.0,242.64705882352945,,74.0,FEFHQ_20250120,,,
317,34.0,13.0,2.0,0.5,1.0,DHcp,4F,D,,22.6,47.5,210.1769911504425,,74.0,FEFHQ_20250120,,,
318,13.0,0.0,4.0,1.0,2.0,DHla,4F,D,,12.8,28.5,222.65625,,74.0,FEFHQ_20250120,,,
325,52.0,44.0,2.0,0.8,1.0,MFcr,K,D,MFcr MFpc,9.2,32.5,353.26086956521743,20250415.0,52.0,SLMet_20250415,24.418102989130432,0.5505323224299065,
326,44.0,29.0,1.5,0.5,1.0,MFcl,1F,M,,15.0,43.5,290.0,,52.0,SLMet_20250415,,,
327,29.0,0.0,2.5,1.0,1.5,MFcl,F,W,,28.2,79.5,281.9148936170213,,52.0,SLMet_20250415,,,
337,124.0,123.0,2.0,1.0,0.5,MFcr,4F,M,in melting stage of cycle,2.0,5.0,250.0,20241128.0,124.0,FCO_20240311,15.695999999999993,,
338,123.0,83.0,0.5,0.3,0.4,RG,4F,D,"recent storm, rounded grains",20.5,37.0,180.4878048780488,,124.0,FCO_20240311,148.1931699084668,,
339,83.0,78.0,0.5,0.3,0.4,RG,4F,D,,14.8,31.0,209.45945945945945,,124.0,FCO_20240311,,,
340,78.0,77.0,3.0,1.0,2.0,MFcr,P,D,decomposing,6.2,17.0,274.1935483870968,,124.0,FCO_20240311,,,
