id,hs,top_cm,bot_cm,smp_id,scope_id,sram_id,present [0/1],top_depth_mm,bot_depth_mm
BDG_20241212,120,78,74,S19M0463.PNT_samples.csv,,,1,419,447
BDG_20241212,120,78,74,S19M0464.PNT_samples.csv,,,1,420,446
BDG_20241212,120,78,74,S19M0465.PNT_samples.csv,,,1,414,438
BDG_20241212,120,78,74,S19M0466.PNT_samples.csv,,,1,415,435
BDG_20241212,120,78,74,S19M0467.PNT_samples.csv,,,1,421,454
BDG_20241212,120,78,74,S19M0468.PNT_samples.csv,,,1,422,448
BDG_20241212,120,78,74,S19M0469.PNT_samples.csv,,,1,416,453
BDG_20241212,120,78,74,S19M0470.PNT_samples.csv,,,1,417,450
BDG_20241212,120,25,23,S19M0461.PNT_samples.csv,,,0,,
BDG_20241212,120,25,23,S19M0462.PNT_samples.csv,,,1,951,958
BDG_20241212,120,25,23,S19M0463.PNT_samples.csv,,,1,949,964
BDG_20241212,120,25,23,S19M0464.PNT_samples.csv,,,1,953,963
BDG_20241212,120,25,23,S19M0465.PNT_samples.csv,,,0,,
BDG_20241212,120,25,23,S19M0466.PNT_samples.csv,,,0,,
BDG_20241212,120,25,23,S19M0467.PNT_samples.csv,,,1,957,965
BDG_20241212,120,25,23,S19M0468.PNT_samples.csv,,,1,952,961
BDG_20241212,120,25,23,S19M0469.PNT_samples.csv,,,1,943,957
BDG_20241212,120,25,23,S19M0470.PNT_samples.csv,,,1,938,953
JPLMet_20250408_TS_0334,63,44,41,S19M0807.PNT_samples.csv,,,1,203,219
JPLMet_20250408_TS_0334,63,44,41,S19M0809.PNT_samples.csv,,,1,186,205
FRE_20250122,187,184,181,S19M0576.PNT_samples.csv,,,1,26,35
FRE_20250122,187,184,181,S19M0577.PNT_samples.csv,,,1,75,137
FRE_20250122,187,184,181,S19M0578.PNT_samples.csv,,,1,50,132
FRE_20250122,187,184,181,S19M0579.PNT_samples.csv,,,1,14,20
FRE_20250122,187,184,181,S19M0580.PNT_samples.csv,,,1,34,41
FRE_20250122,187,184,181,S19M0581.PNT_samples.csv,,,1,43,56
